count_point_id,direction_of_travel,year,count_date,hour,region_name,local_authority_id,local_authority_name,road_name,road_type,start_junction_road_name,end_junction_road_name,link_length_miles,pedal_cycles,two_wheeled_motor_vehicles,cars_and_taxis,buses_and_coaches,lgvs,hgvs_2_rigid_axle,hgvs_3_rigid_axle,hgvs_4_or_more_rigid_axle,hgvs_3_or_4_articulated_axle,hgvs_5_articulated_axle,hgvs_6_articulated_axle,all_hgvs,all_motor_vehicles
16877,N,2005,07/07/2005,7,South East,113,Wokingham,A327,Major,B3348,B3030 Sindlesham Rd,3.23,0,2,483,2,76,19,2,3,2,2,1,29,592
16877,N,2005,07/07/2005,8,South East,113,Wokingham,A327,Major,B3348,B3030 Sindlesham Rd,3.23,0,3,518,2,63,17,2,1,0,2,1,23,609
16877,N,2005,07/07/2005,9,South East,113,Wokingham,A327,Major,B3348,B3030 Sindlesham Rd,3.23,0,1,321,2,52,16,1,2,0,0,1,20,396
16877,N,2005,07/07/2005,10,South East,113,Wokingham,A327,Major,B3348,B3030 Sindlesham Rd,3.23,1,1,221,2,51,21,3,5,1,2,1,33,308
16877,N,2005,07/07/2005,11,South East,113,Wokingham,A327,Major,B3348,B3030 Sindlesham Rd,3.23,0,0,181,3,62,29,5,2,1,2,1,40,286
16877,N,2005,07/07/2005,12,South East,113,Wokingham,A327,Major,B3348,B3030 Sindlesham Rd,3.23,0,2,232,0,56,17,3,1,0,1,2,24,314
16877,N,2005,07/07/2005,13,South East,113,Wokingham,A327,Major,B3348,B3030 Sindlesham Rd,3.23,0,2,253,0,54,14,3,3,1,0,0,21,330
16877,N,2005,07/07/2005,14,South East,113,Wokingham,A327,Major,B3348,B3030 Sindlesham Rd,3.23,0,4,235,3,59,16,1,3,0,3,0,23,324
16877,N,2005,07/07/2005,15,South East,113,Wokingham,A327,Major,B3348,B3030 Sindlesham Rd,3.23,0,1,262,7,79,8,2,3,2,0,2,17,366
16877,N,2005,07/07/2005,16,South East,113,Wokingham,A327,Major,B3348,B3030 Sindlesham Rd,3.23,0,8,385,6,81,13,2,0,1,1,2,19,499
16877,N,2005,07/07/2005,17,South East,113,Wokingham,A327,Major,B3348,B3030 Sindlesham Rd,3.23,1,6,594,0,80,8,0,0,0,4,0,12,692
16877,N,2005,07/07/2005,18,South East,113,Wokingham,A327,Major,B3348,B3030 Sindlesham Rd,3.23,3,1,547,1,30,1,1,0,1,1,0,4,583
16877,S,2005,07/07/2005,7,South East,113,Wokingham,A327,Major,B3348,B3030 Sindlesham Rd,3.23,0,4,433,1,95,10,4,1,1,2,1,19,552
16877,S,2005,07/07/2005,8,South East,113,Wokingham,A327,Major,B3348,B3030 Sindlesham Rd,3.23,2,4,497,2,61,23,2,3,1,0,1,30,594
16877,S,2005,07/07/2005,9,South East,113,Wokingham,A327,Major,B3348,B3030 Sindlesham Rd,3.23,0,0,206,0,53,10,3,2,0,1,0,16,275
16877,S,2005,07/07/2005,10,South East,113,Wokingham,A327,Major,B3348,B3030 Sindlesham Rd,3.23,0,0,169,0,45,15,3,0,0,1,1,20,234
16877,S,2005,07/07/2005,11,South East,113,Wokingham,A327,Major,B3348,B3030 Sindlesham Rd,3.23,0,2,148,0,49,29,3,2,0,0,3,37,236
16877,S,2005,07/07/2005,12,South East,113,Wokingham,A327,Major,B3348,B3030 Sindlesham Rd,3.23,0,1,195,3,32,16,3,6,0,0,1,26,257
16877,S,2005,07/07/2005,13,South East,113,Wokingham,A327,Major,B3348,B3030 Sindlesham Rd,3.23,0,1,268,2,56,8,4,2,2,2,0,18,345
16877,S,2005,07/07/2005,14,South East,113,Wokingham,A327,Major,B3348,B3030 Sindlesham Rd,3.23,0,0,246,1,65,11,3,3,2,2,0,21,333
16877,S,2005,07/07/2005,15,South East,113,Wokingham,A327,Major,B3348,B3030 Sindlesham Rd,3.23,0,2,323,2,78,11,1,4,0,0,1,17,422
16877,S,2005,07/07/2005,16,South East,113,Wokingham,A327,Major,B3348,B3030 Sindlesham Rd,3.23,1,1,483,1,78,6,0,4,2,1,4,17,580
16877,S,2005,07/07/2005,17,South East,113,Wokingham,A327,Major,B3348,B3030 Sindlesham Rd,3.23,0,2,603,1,48,4,0,0,0,2,1,7,661
16877,S,2005,07/07/2005,18,South East,113,Wokingham,A327,Major,B3348,B3030 Sindlesham Rd,3.23,0,4,577,1,29,4,0,0,0,0,0,4,615
17533,N,2005,29/09/2005,7,South East,113,Wokingham,A3032,Major,B3024,A4,1.18,4,0,107,0,5,0,1,1,0,0,0,2,114
17533,N,2005,29/09/2005,8,South East,113,Wokingham,A3032,Major,B3024,A4,1.18,1,4,133,0,10,3,0,0,0,0,0,3,150
17533,N,2005,29/09/2005,9,South East,113,Wokingham,A3032,Major,B3024,A4,1.18,0,0,109,0,7,5,0,0,0,0,0,5,121
17533,N,2005,29/09/2005,10,South East,113,Wokingham,A3032,Major,B3024,A4,1.18,2,0,84,0,9,5,2,1,0,1,0,9,102
17533,N,2005,29/09/2005,11,South East,113,Wokingham,A3032,Major,B3024,A4,1.18,0,0,81,1,5,3,1,0,0,0,0,4,91
17533,N,2005,29/09/2005,12,South East,113,Wokingham,A3032,Major,B3024,A4,1.18,3,1,115,0,12,7,0,0,3,0,0,10,138
17533,N,2005,29/09/2005,13,South East,113,Wokingham,A3032,Major,B3024,A4,1.18,0,0,111,0,15,4,0,0,0,0,0,4,130
17533,N,2005,29/09/2005,14,South East,113,Wokingham,A3032,Major,B3024,A4,1.18,0,1,104,0,13,1,0,0,0,0,2,3,121
17533,N,2005,29/09/2005,15,South East,113,Wokingham,A3032,Major,B3024,A4,1.18,2,2,109,0,12,2,0,0,2,0,1,5,128
17533,N,2005,29/09/2005,16,South East,113,Wokingham,A3032,Major,B3024,A4,1.18,0,1,104,1,15,0,0,0,0,0,0,0,121
17533,N,2005,29/09/2005,17,South East,113,Wokingham,A3032,Major,B3024,A4,1.18,0,0,85,0,4,0,0,0,0,0,0,0,89
17533,N,2005,29/09/2005,18,South East,113,Wokingham,A3032,Major,B3024,A4,1.18,0,3,94,2,5,1,0,0,0,0,0,1,105
17533,S,2005,29/09/2005,7,South East,113,Wokingham,A3032,Major,B3024,A4,1.18,1,0,97,1,9,1,1,0,0,0,0,2,109
17533,S,2005,29/09/2005,8,South East,113,Wokingham,A3032,Major,B3024,A4,1.18,2,1,154,2,11,2,0,0,2,0,0,4,172
17533,S,2005,29/09/2005,9,South East,113,Wokingham,A3032,Major,B3024,A4,1.18,0,0,115,1,22,4,0,0,1,0,0,5,143
17533,S,2005,29/09/2005,10,South East,113,Wokingham,A3032,Major,B3024,A4,1.18,0,0,81,0,9,3,1,1,1,0,0,6,96
17533,S,2005,29/09/2005,11,South East,113,Wokingham,A3032,Major,B3024,A4,1.18,1,1,128,0,14,4,1,1,1,0,0,7,150
17533,S,2005,29/09/2005,12,South East,113,Wokingham,A3032,Major,B3024,A4,1.18,0,0,125,1,15,2,0,0,1,0,0,3,144
17533,S,2005,29/09/2005,13,South East,113,Wokingham,A3032,Major,B3024,A4,1.18,0,1,127,0,22,3,0,0,1,0,0,4,154
17533,S,2005,29/09/2005,14,South East,113,Wokingham,A3032,Major,B3024,A4,1.18,1,0,137,0,17,3,1,0,1,0,0,5,159
17533,S,2005,29/09/2005,15,South East,113,Wokingham,A3032,Major,B3024,A4,1.18,1,0,174,0,18,1,0,0,0,0,0,1,193
17533,S,2005,29/09/2005,16,South East,113,Wokingham,A3032,Major,B3024,A4,1.18,1,5,200,0,23,0,0,0,0,1,0,1,229
17533,S,2005,29/09/2005,17,South East,113,Wokingham,A3032,Major,B3024,A4,1.18,4,1,262,0,19,0,0,0,0,0,0,0,282
17533,S,2005,29/09/2005,18,South East,113,Wokingham,A3032,Major,B3024,A4,1.18,2,2,231,0,12,0,0,0,0,0,0,0,245
